RECNO	D	NEW	E	SOC	SOC2000	INDEXOCC	IND	ADD	SEE
23884				902	9119	Teamsman	(farming)		
23885				902	9119	Teamster	(farming)		
23886	I			889	8219	Teamster			
23887				}}}	}}}}	Teaser			- see Teazer
23888				}}}	}}}}	Teaserman			- see Teazer
23889				811	8113	Teazer, shoddy			
23890				823	8112	Teazer	(glass mfr)		
23891				830	8117	Teazer	(metal trades)		
23892				811	8113	Teazer	(textile mfr)		
23893				}}}	}}}}	Teazerman			- see Teazer
23894				552	8113	Teazler			
23895				309	3119	Technical Class, grade I	(government)		
23896				309	3119	Technical Class, grade II	(government)		
23897				309	3119	Technical grade	(government)		
23898				523	5242	Technician, 1	(telecommunications)		
23899				523	5242	Technician, 2A	(telecommunications)		
23900				524	5243	Technician, 2B	(telecommunications)		
23901		*		399	3537	Technician, account			
23902		*		399	3537	Technician, accounting			
23903				386	3434	Technician, aids, visual			
23904		*		301	3113	Technician, airframe			
23905				642	6112	Technician, ambulance			
23906				300	3111	Technician, analytical			
23907				300	3111	Technician, anatomy			
23908				349	6131	Technician, animal			
23909				303	3121	Technician, architectural			
23910				529	5249	Technician, assistant	(railway signalling)		
23911				309	3115	Technician, assurance, quality			
23912		*		346	3218	Technician, audiologist			
23913		*		399	3537	Technician, audit			
23914		*		310	3122	Technician, autocad			
23915		*		302	3112	Technician, avionics			
23916				300	3111	Technician, botanical			
23917				304	3114	Technician, building			
23918				517	5224	Technician, calibration			
23919				386	3434	Technician, camera, video			
23920	O			517	5224	Technician, camera			
23921		*		346	3218	Technician, cardiac			
23922				346	3218	Technician, cardiological			
23923		*		506	5322	Technician, carpet			
23924		*		953	9223	Technician, catering			
23925				346	3218	Technician, cephalographic			
23926				386	3434	Technician, cine			
23927				410	4132	Technician, claims	(insurance)		
23928		*		840	5221	Technician, cnc			
23929		*		320	3131	Technician, computer			
23930		*		320	3131	Technician, computing			
23931		*		509	5319	Technician, concrete			
23932		*		699	6292	Technician, control, pest			
23933				309	3115	Technician, control, quality			
23934				300	3111	Technician, cytological			
23935				569	5423	Technician, darkroom			
23936				592	3218	Technician, dental			
23937				309	3119	Technician, development			
23938				346	3217	Technician, dispensing			
23939				310	3122	Technician, draughting			
23940		*		346	3218	Technician, ecg			
23941				523	5242	Technician, electrical	(telecommunications)		
23942	I			302	3112	Technician, electrical			
23943				302	3112	Technician, electronics			
23944				304	3114	Technician, engineering, civil			
23945		*		302	3113	Technician, engineering, electrical			
23946				301	3113	Technician, engineering, mechanical			
23947				304	3114	Technician, engineering, structural			
23948	O			301	3113	Technician, engineering			
23949				520	5242	Technician, factory	(telecommunications)		
23950		*		900	5111	Technician, farm			
23951				386	3434	Technician, film			
23952		*		532	5314	Technician, gas			
23953		*		300	3111	Technician, geology			
23954				348	3568	Technician, health, environmental			
23955				300	3111	Technician, histological			
23956		*		595	5112	Technician, horticultural			
23957				346	3218	Technician, hospital		(audiology)	
23958				346	3218	Technician, hospital		(cardiography)	
23959				346	3218	Technician, hospital		(encephalography)	
23960				300	3111	Technician, hospital		(laboratory)	
23961				300	3111	Technician, hospital		(pathology)	
23962	A			300	3111	Technician, hospital			
23963		*		516	5223	Technician, hydraulic			
23964				902	9119	Technician, insemination, artificial			
23965				529	5249	Technician, installation		(electrical, electronics)	
23966	A			301	3113	Technician, installation			
23967		*		593	5494	Technician, instrument, musical			
23968				301	3113	Technician, instrument	(steelworks)		
23969	M			517	5224	Technician, instrument			
23970				410	4132	Technician, insurance			
23971		*		320	3131	Technician, IS			
23972		*		320	3131	Technician, IT			
23973				349	6131	Technician, laboratory, care, animal			
23974				300	3111	Technician, laboratory, medical			
23975	O			300	3111	Technician, laboratory			
23976		*		506	5322	Technician, laying, floor			
23977				591	5491	Technician, lens, contact			
23978				521	5241	Technician, lighting, stage			
23979		*		346	3218	Technician, limb, artificial			
23980		*		540	5231	Technician, maintenance, vehicle			
23981	O	*		309	5223	Technician, maintenance			
23982		*		309	3119	Technician, materials			
23983				599	3218	Technician, maxillo-facial			
23984		*		301	3113	Technician, mechanical			
23985		*		386	3434	Technician, media			
23986				346	3218	Technician, medical			
23987		*		521	5241	Technician, meter		(electricity)	
23988				699	6291	Technician, mortuary			
23989		*		410	4132	Technician, motor	(insurance)		
23990	I			540	5231	Technician, motor			
23991		*		661	6222	Technician, nail			
23992				301	3115	Technician, ndt			
23993		*		320	3131	Technician, network			
23994				517	5224	Technician, optical			
23995				599	3218	Technician, orthodontic			
23996				599	3218	Technician, orthopaedic			
23997		*		596	5234	Technician, paint		(motor vehicles)	
23998		*		642	3213	Technician, paramedic			
23999		*		720	7111	Technician, parts			
24000		*		346	3218	Technician, pathology, anatomical			
24001	O	*		346	3218	Technician, pathology			
24002		*		410	4132	Technician, pensions			
24003				346	3217	Technician, pharmacy			
24004				386	3434	Technician, photographic			
24005		*		346	3218	Technician, physics, medical			
24006				300	3111	Technician, physics	(hospital service)		
24007				593	5494	Technician, piano			
24008				303	3121	Technician, planning, town			
24009		*		346	3218	Technician, plaster	(hospital service)		
24010				532	5314	Technician, plumbing			
24011		*		561	5422	Technician, print			
24012				309	2127	Technician, process			
24013		*		309	3115	Technician, quality			
24014				529	5249	Technician, radar			
24015				525	5244	Technician, radio			
24016				309	3119	Technician, research			
24017		*		309	3119	Technician, research and development			
24018				820	8114	Technician, room, control	(gas supplier)		
24019				300	3111	Technician, rubber			
24020				300	3111	Technician, scientific			
24021				526	5245	Technician, service, computer			
24022		*		699	6292	Technician, service, prevention, pest			
24023		*		540	5231	Technician, service		(motor vehicles)	
24024				598	5249	Technician, service		(office machines)	
24025	M			309	3119	Technician, service			
24026				529	5249	Technician, signal	(railways)		
24027		*		320	3131	Technician, software			
24028				386	3434	Technician, sound			
24029				516	5223	Technician, stock, rolling			
24030		*		599	5319	Technician, support, life	(diving)		
24031		*		346	3218	Technician, support, life	(hospital service)		
24032		*		320	3132	Technician, support		(computing)	
24033				346	3218	Technician, surgical			
24034		*		312	2433	Technician, survey		(quantity surveying)	
24035	A	*		309	3114	Technician, survey			
24036		*		312	2433	Technician, surveying, quantity			
24037	O	*		309	3114	Technician, surveying			
24038		*		320	3131	Technician, systems, information			
24039	O	*		320	3131	Technician, systems			
24040				362	3535	Technician, tax			
24041				362	3535	Technician, taxation			
24042				529	5242	Technician, telecommunications			
24043		*		302	3112	Technician, telemetry			
24044		*		523	5242	Technician, telephone			
24045				525	5244	Technician, television			
24046				309	3119	Technician, test			
24047				301	3115	Technician, testing, non-destructive			
24048				346	3218	Technician, theatre, hospital			
24049		*		346	3218	Technician, theatre, operating			
24050		*		386	3434	Technician, theatre	(entertainment)		
24051		*		346	3218	Technician, trauma			
24052		*		544	8135	Technician, tyre			
24053		*		360	3531	Technician, valuation			
24054				540	5231	Technician, vehicle, motor			
24055	O			301	5231	Technician, vehicle			
24056				525	5244	Technician, video			
24057				386	3434	Technician, visual, audio			
24058				896	8149	Technician, wall, cavity			
24059		*		600	3311	Technician, weapons	(armed forces)		
24060		*		320	3131	Technician, web			
24061				309	3119	Technician, workshop			
24062				516	3113	Technician		(aircraft)	
24063				521	3112	Technician		(electrical equipment)	
24064				529	5249	Technician		(electronic equipment, maintenance)	
24065	A			520	3112	Technician		(electronic equipment)	
24066				304	3114	Technician		(engineering, civil)	
24067				301	3113	Technician		(engineering, mechanical)	
24068				304	3114	Technician		(engineering, structural)	
24069	A			301	3113	Technician		(engineering)	
24070				301	3113	Technician		(flight test)	
24071				301	3113	Technician	(steelworks:	instrument)	
24072				349	6131	Technician		(laboratory, animal care)	
24073		*		592	3218	Technician		(laboratory, dental)	
24074	A			300	3111	Technician		(laboratory)	
24075		*		346	3218	Technician		(medical)	
24076				540	5231	Technician		(motor vehicles)	
24077				309	3119	Technician		(plastics)	
24078				525	5244	Technician		(radio, television and video equipment)	
24079				599	3218	Technician		(surgical, dental appliances)	
24080				523	5242	Technician		(telegraph, telephone equipment)	
24081				300	3111	Technician		(textile)	
24082				301	3113	Technician		(wind tunnel)	
24083				399	3537	Technician	(accountancy)		
24084				600	3311	Technician	(armed forces)		
24085		*		592	3218	Technician	(dental practice)		
24086				386	3434	Technician	(film studio)		
24087				300	3111	Technician	(hospital service)		
24088				524	5243	Technician	(telecommunications:	2B)	
24089	A			523	5242	Technician	(telecommunications)		
24090	M			309	3119	Technician			
24091		*		303	3121	Technologist, architectural			
24092				219	2129	Technologist, food			
24093				300	3111	Technologist, laboratory, medical			
24094				300	3111	Technologist, medical			
